question,answer,context
What is the average precision (mAP) achieved by the CLIMB-3D method in the Split-A scenario?,22.72,"Table 1: Comparison between the proposed method and the baseline in the 3DIS setting, evaluated using mAP25, mAP50, mAP, and FPP after training across all phase. Scenarios Methods Average Precision↑FPP↓ mAP25 mAP50 mAP mAP 25 mAP50 Baseline 16.46 14.29 10.44 51.30 46.82Split-A CLIMB-3D(Ours) 35.69 31.05 22.72 3.44 2.63 Baseline 17.22 15.07 10.93 46.27 42.1Split-B CLIMB-3D(Ours) 35.48 31.56 23.69 8.00 5.51 Baseline 25.65 21.08 14.85 31.68 28.84Split-C CLIMB-3D(Ours) 31.59 26.78 18.93 9.10 7.89 To evaluate our proposed approach, we construct a baseline using ER [5] for the 3DIS setting, as no existing incremental baselines are available for this task."
What new object categories are introduced in Task 2 of the CI-3DIS setting?,"Pillow, Coffee Table, and Sofa Chair.","2THENGANE ET AL.: CLIMB-3D 1 Introduction Table Chair Couch Pillow Coffee Table Sofa Chair Recycling BinCabinet Unknown Task-1 Task-2 Task-3 Figure 1:Overview of the CI-3DIS setting.New object categories are introduced incre- mentally with each task. After every phase, the model must recognise both newly added and previously learned classes. For instance, in Task 2, categories such as Pillow, Coffee Table, and Sofa Chair are introduced, while the model is expected to retain recognition of earlier classes like Table, Chair, and Couch."
What is the effect of adding exemplar replay (ER) on the performance metrics s1 and s2 in Phase 2 and Phase 3?,"Exemplar replay (ER) yields notable gains for s1 in Phase 2 (+18.51%) and Phase 3 (+10.38%), and also improves s2 in Phase 3 (+9.43%).","10THENGANE ET AL.: CLIMB-3D Effect of ER.Adding exemplar replay (row 3) partially alleviates forgetting by maintaining a buffer of past examples. This yields notable gains fors1in Phase 2 (+18.51%) and Phase 3 (+10.38%), and also improvess2in Phase 3 (+9.43%). However, the overall forgetting remains substantial (FPP: 46.44), showing ER alone is insufficient."
What evaluation metrics are used to assess the method in the context of 3DSS?,Mean Average Precision (mAP) and mean Intersection over Union (mIoU).,"8THENGANE ET AL.: CLIMB-3D assessing real-world scenarios. In addition, we compare our approach against existing incremental learning methods using ScanNetV2 [16] in the 3DSS setting. For this evaluation, we follow the standard training and validation splits defined in prior works [74] to ensure consistency with existing methods. Evaluation Metrics. We evaluate our method using Mean Average Precision (mAP), a standard metric for 3DIS which provides a comprehensive measure of segmentation quality by accounting for both precision and recall. For comparison with existing 3DSS methods, we report the mean Intersection over Union (mIoU), which quantifies the overlap between."
What is one of the main contributions of Thengane et al. in their work on imbalanced class-incremental 3D instance segmentation?,A novel problem setting of imbalanced class-incremental 3DIS with an effective method to balance learning and mitigate forgetting.,"THENGANE ET AL.: CLIMB-3D3 In summary, our contributions are: (i) a novel problem setting of imbalanced class-incremental 3DIS with an effective method to balance learning and mitigate forgetting; (ii) three benchmarks modelling continual object emergence with natural imbalance; and (iii) strong experimental results, achieving up to 16.76% mAP improvement over baselines."
What is the title of the paper authored by Yuwei Yang and others presented at CVPR in June 2023?,Geometry and uncertainty-aware 3d point cloud class-incremental semantic segmentation.,"point clouds.NeurIPS, 32, 2019. [74] Yuwei Yang, Munawar Hayat, Zhao Jin, Chao Ren, and Yinjie Lei. Geometry and uncertainty-aware 3d point cloud class-incremental semantic segmentation. InCVPR, pages 21759–21768, June 2023."
What is the title of the paper authored by Jean Lahoud and others presented at the International Conference on Robotics and Automation in 2024?,Long-tailed 3d semantic segmentation with adaptive weight constraint and sampling.,"[38] Jean Lahoud, Fahad Shahbaz Khan, Hisham Cholakkal, Rao Muhammad Anwer, and Salman Khan. Long-tailed 3d semantic segmentation with adaptive weight constraint and sampling. InInternational Conference on Robotics and Automation (ICRA), pages 5037–5044, 2024. doi: 10.1109/ICRA57147.2024.10610029."
What is the primary purpose of the imbalance correction (IC) module as described in the context?,The primary purpose of the imbalance correction (IC) module is to address the performance gap for rare classes.,"E. Appendix C Evaluation on Rare Categories The proposed imbalance correction (IC) module, as detailed in Section 4.2, is designed to address the performance gap for rare classes. To assess its impact, we compare its performance with the framework which has exemplar replay (ER) and knowledge distillation (KD). Specifically, we focus on its ability to improve performance for rare classes, which the model encounters infrequently compared to more common classes. The results, shown in Tab. 5 and Tab. 6, correspond to evaluations on Split-A for Phase 2 and Phase 3, respectively. In Phase 2, we evaluate classes seen 1–20 times per epoch."
What does the variable C represent in the context of CI-3DIS methods?,C represents the number of object categories.,"While CI-3DIS methods offer a wide range of practical applications, they frequently rely on the assumption of uniform sample distribution, which rarely holds in real-world settings. In practice, the number of object categories, denoted by C, is often large and characterised."
What is a limitation of transformer-based models applied to 3DIS and 3DSS?,They require full annotations for all classes and are not designed for progressive learning.,"ing [9, 21, 22, 29, 37, 44, 70, 78]. In contrast, proposal-based methods follow a top-down strategy by detecting 3D boxes and segmenting objects within them [19, 26, 46, 73, 76]. Recently, transformer-based models [68] have also been applied to 3DIS and 3DSS [59, 64], inspired by advances in 2D vision [10, 11]. However, these approaches require full annotations for all classes and are not designed for progressive learning, where only new class annotations are available and previous data is inaccessible. Another line of work aims to re-duce annotation costs by proposing weakly supervised 3DIS methods based on sparse cues."
